,Total,Male,Female,Gender not recorded or not broken down,Age 10,Age 11,Age 12,Age 13,Age 14,Age 15,Age 16,Age 16 Male,Age 16 Female,Age 17,Age 17 Male,Age 17 Female,Age 18,Age not recorded or not broken down
England,4156,3386,266,503,6,8,27,67,185,449,1103,929,51,1673,1343,108,6,628
Barking and Dagenham,33,28,5,0,0,0,0,,0,,10,,,20,,,0,<5
Barnet,38,Anonymised,Anonymised,0,,,,,,,13,,,13,,,,12
Barnsley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bath and North East Somerset,<5,,,<5,0,0,0,0,0,0,<5,Not disclosed,Not disclosed,<5,Not disclosed,Not disclosed,0,0
Bedford Borough,23,Anonymised,Anonymised,0,0,0,0,<5,0,<5,6,Anonymised,Anonymised,15,Anonymised,Anonymised,0,0
Birmingham,72,Anonymised,Anonymised,0,0,0,<5,5,<5,14,15,15,0,26,Anonymised,Anonymised,<5,0
Blackburn with Darwen,<5,<5,0,0,,,,,,,,,,,,,,<5
Blackpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolton,<5,,,<5,,,,,,,,,,,,,,<5
Bournemouth,<5,,,<5,,,,,,,,,,,,,,<5
Bracknell Forest,<5,<5,0,0,0,0,0,0,0,0,<5,<5,0,0,0,0,0,0
Bradford,<5,<5,0,0,,,,,,,,,,,,,,<5
Brent,64,Anonymised,Anonymised,0,0,,,,,,,,,23,Anonymised,Anonymised,,41
Brighton and Hove,33,27,6,0,,,,,,,12,Not disclosed,Not disclosed,15,Not disclosed,Not disclosed,,6
Bristol,28,Anonymised,Anonymised,0,0,0,<5,<5,<5,7,5,5,0,9,Anonymised,Anonymised,<5,0
Bromley,20,Anonymised,Anonymised,0,,,,,,,,,,14,Not disclosed,Not disclosed,,6
Buckinghamshire,19,19,0,0,0,0,0,0,0,<5,6,6,0,11,11,0,0,0
Bury,<5,<5,0,0,,,,,,,,,,,,,,<5
Calderdale,10,10,0,0,,,,,,,,,,,,,,10
Cambridgeshire,62,,,62,0,0,0,0,0,0,29,Not disclosed,Not disclosed,26,Not disclosed,Not disclosed,0,7
Camden,23,Anonymised,Anonymised,0,0,0,0,0,<5,<5,<5,<5,0,15,Anonymised,Anonymised,0,0
Central Bedfordshire,39,,,39,,,,,,,,,,,,,,39
Cheshire East,<5,<5,0,0,,,,,,,,,,,,,,<5
Cheshire West and Chester,<5,<5,<5,0,0,0,0,0,<5,0,<5,<5,0,<5,<5,0,0,0
City Of London,10,,,10,0,0,0,<5,<5,<5,<5,Not disclosed,Not disclosed,<5,Not disclosed,Not disclosed,0,0
Cornwall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coventry,15,15,0,0,0,0,0,<5,<5,<5,<5,<5,0,6,6,0,0,0
Croydon,433,397,36,0,,,,16,27,88,138,130,8,159,141,18,,5
Cumbria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
