,Afghanistan,Albania,Algeria,Angola,Bangladesh,Chad,China,Congo,Cuba,Egypt,Eritrea,Ethiopia,Gambia,Ghana,Guinea,India,Iran,Iraq,Ivory Coast,Kosovo,Kurdish,Kuwait,Libya,Morocco,Nigeria,North Korea,Pakistan,Palestine,Russia,Saudi Arabia,Sierra Leone,Somalia,South Africa,Sri Lanka,Sudan,Syria,Tunisia,Turkey,Uganda,Vietnam,Yemen,Zimbabwe,Nationality not recorded or not broken down
England,890,715,6,5,6,<5,10,16,<5,41,782,64,<5,<5,<5,<5,280,202,<5,<5,<5,22,<5,9,9,<5,14,<5,<5,<5,<5,13,<5,11,104,148,<5,11,<5,199,<5,<5,785
Barking and Dagenham,,10,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
Barnet,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
Barnsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset,<5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<5,,,,,,,
Bedford Borough,7,<5,,,,,,,,,6,<5,,,,,5,<5,,,,,,,<5,,,,,,,,,,,,,,,,,,
Bexley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
Birmingham,23,<5,,,,,,<5,,,9,,,,,,9,6,,,,<5,,,,,<5,,,,,<5,,,,,,,,<5,,,14
Blackburn with Darwen,<5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<5,,,,,,,
Blackpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<5
Bournemouth,<5,<5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bracknell Forest,<5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<5
